old,new,status
AI Adoption Strategy Meeting.mp3,2026-04-14 - Clayco - AI Adoption Strategy.mp3,renamed
AI Adoption Strategy Meeting_transcript.txt,2026-04-14 - Clayco - AI Adoption Strategy_transcript.txt,renamed
Clayco Business Strategy Meeting.mp3,2026-04-14 - Clayco - Business Strategy Meeting.mp3,renamed
Clayco Business Strategy Meeting_transcript.txt,2026-04-14 - Clayco - Business Strategy Meeting_transcript.txt,renamed
Company Strategy Planning Meeting.mp3,2026-04-14 - Clayco - Company Strategy Planning.mp3,renamed
Company Strategy Planning Meeting_transcript.txt,2026-04-14 - Clayco - Company Strategy Planning_transcript.txt,renamed
Construction Budget Reduction Meeting.mp3,2026-05-11 - Pacific Fusion - Construction Budget Reduction.mp3,renamed
Construction Budget Reduction Meeting_transcript.txt,2026-05-11 - Pacific Fusion - Construction Budget Reduction_transcript.txt,renamed
Construction Project Coordination Meeting.mp3,2026-04-08 - Pacific Fusion - Construction Project Coordination.mp3,file_not_found
Construction Project Coordination Meeting_transcript.txt,2026-04-08 - Pacific Fusion - Construction Project Coordination_transcript.txt,renamed
Construction Project Settlement Review.mp3,2026-05-19 - Pacific Fusion - Construction Project Settlement Review.mp3,renamed
Construction Project Settlement Review_transcript.txt,2026-05-19 - Pacific Fusion - Construction Project Settlement Review_transcript.txt,renamed
Contract Review and Negotiation.mp3,2026-05-07 - Pacific Fusion - Contract Review and Negotiation.mp3,renamed
Contract Review and Negotiation_transcript.txt,2026-05-07 - Pacific Fusion - Contract Review and Negotiation_transcript.txt,renamed
Cost Reduction Strategy Meeting.mp3,2026-05-12 - Pacific Fusion - Cost Reduction Strategy.mp3,renamed
Cost Reduction Strategy Meeting_transcript.txt,2026-05-12 - Pacific Fusion - Cost Reduction Strategy_transcript.txt,renamed
DS3 Bridge Crane Weekly.mp3,2026-05-07 - DS3 - Bridge Crane Weekly.mp3,renamed
DS3 Bridge Crane Weekly_transcript.txt,2026-05-07 - DS3 - Bridge Crane Weekly_transcript.txt,renamed
Data Center Strategy Meeting.mp3,2026-05-12 - Clayco - Data Center Strategy.mp3,renamed
Data Center Strategy Meeting_transcript.txt,2026-05-12 - Clayco - Data Center Strategy_transcript.txt,renamed
Design Coordination Meeting.mp3,2026-04-09 - Pacific Fusion - Design Coordination.mp3,renamed
Design Coordination Meeting_transcript.txt,2026-04-09 - Pacific Fusion - Design Coordination_transcript.txt,renamed
Electrical Scope Coordination Meeting.mp3,2026-04-09 - Pacific Fusion - Electrical Scope Coordination.mp3,renamed
Electrical Scope Coordination Meeting_transcript.txt,2026-04-09 - Pacific Fusion - Electrical Scope Coordination_transcript.txt,renamed
Engineering Project Cost Reduction.mp3,2026-04-02 - Pacific Fusion - Engineering Cost Reduction.mp3,renamed
Engineering Project Cost Reduction_transcript.txt,2026-04-02 - Pacific Fusion - Engineering Cost Reduction_transcript.txt,renamed
Enterprise Margin Strategy Meeting.mp3,2026-04-14 - Clayco - Enterprise Margin Strategy.mp3,renamed
Enterprise Margin Strategy Meeting_transcript.txt,2026-04-14 - Clayco - Enterprise Margin Strategy_transcript.txt,renamed
Financial Requirements Meeting.mp3,2026-03-31 - Pacific Fusion - Financial Requirements.mp3,renamed
Financial Requirements Meeting_transcript.txt,2026-03-31 - Pacific Fusion - Financial Requirements_transcript.txt,renamed
Gotion - Engineering Timeline Follow-Up.mp3,2026-04-01 - Gotion - Engineering Timeline Follow-Up.mp3,renamed
Gotion - Engineering Timeline Follow-Up_transcript.txt,2026-04-01 - Gotion - Engineering Timeline Follow-Up_transcript.txt,renamed
Leadership Development Strategy Meeting.mp3,2026-04-14 - Clayco - Leadership Development Strategy.mp3,renamed
Leadership Development Strategy Meeting_transcript.txt,2026-04-14 - Clayco - Leadership Development Strategy_transcript.txt,renamed
Life Sciences Business Strategy Meeting.mp3,2026-04-14 - Clayco - Life Sciences Business Strategy.mp3,renamed
Life Sciences Business Strategy Meeting_transcript.txt,2026-04-14 - Clayco - Life Sciences Business Strategy_transcript.txt,renamed
Mechanical Design Review Meeting.mp3,2026-04-20 - Pacific Fusion - Mechanical Design Review.mp3,renamed
Mechanical Design Review Meeting_transcript.txt,2026-04-20 - Pacific Fusion - Mechanical Design Review_transcript.txt,renamed
Offsite Development Coordination Meeting.mp3,2026-05-20 - Pacific Fusion - Offsite Development Coordination.mp3,file_not_found
Offsite Development Coordination Meeting_transcript.txt,2026-05-20 - Pacific Fusion - Offsite Development Coordination_transcript.txt,renamed
Project Cost Reduction Workshop.mp3,2026-05-19 - Pacific Fusion - Cost Reduction Workshop.mp3,file_not_found
Project Cost Reduction Workshop_transcript.txt,2026-05-19 - Pacific Fusion - Cost Reduction Workshop_transcript.txt,renamed
Project Scope Reduction Meeting.mp3,2026-05-15 - Pacific Fusion - Scope Reduction.mp3,renamed
Project Scope Reduction Meeting_transcript.txt,2026-05-15 - Pacific Fusion - Scope Reduction_transcript.txt,renamed
Project Scope Reduction Meeting(1).mp3,2026-05-20 - Pacific Fusion - Scope Reduction.mp3,renamed
Project Scope Reduction Meeting(1)_transcript.txt,2026-05-20 - Pacific Fusion - Scope Reduction_transcript.txt,renamed
Project Scope and Schedule Review.mp3,2026-05-21 - Pacific Fusion - Scope and Schedule Review.mp3,renamed
Project Scope and Schedule Review_transcript.txt,2026-05-21 - Pacific Fusion - Scope and Schedule Review_transcript.txt,renamed
Project Solis_ Owner Architect Standing Meeting.mp3,2026-04-01 - Project Solis - Owner Architect Standing Meeting.mp3,renamed
Project Solis_ Owner Architect Standing Meeting_transcript.txt,2026-04-01 - Project Solis - Owner Architect Standing Meeting_transcript.txt,renamed
Sofidel Discussion.mp3,2026-05-21 - Sofidel - Discussion.mp3,renamed
Sofidel Discussion_transcript.txt,2026-05-21 - Sofidel - Discussion_transcript.txt,renamed
"Solis Workshop 2_ FLS, Structural.mp3",2026-05-19 - Project Solis - Workshop 2 - FLS Structural.mp3,renamed
"Solis Workshop 2_ FLS, Structural_transcript.txt",2026-05-19 - Project Solis - Workshop 2 - FLS Structural_transcript.txt,renamed
